Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
241,4,Sep 20 2014,12:00 PM,Sat,Iowa,24,@,Pittsburgh,20,ESPN U,,
242,4,Sep 20 2014,3:30 PM,Sat,Kansas,24,,Central Michigan,10,FSN MSG+ SunSports,,
243,4,Sep 20 2014,3:30 PM,Sat,Louisville,34,@,Florida International,3,FS1,,
244,4,Sep 20 2014,2:00 PM,Sat,Marshall,48,@,Akron,17,ESPN3.com,,
245,4,Sep 20 2014,12:30 PM,Sat,Maryland,34,@,Syracuse,20,ACC Network,,
246,4,Sep 20 2014,7:00 PM,Sat,Memphis,36,,Middle Tennessee State,17,ESPN3.com,,
247,4,Sep 20 2014,12:00 PM,Sat,(11) Michigan State,73,,Eastern Michigan,14,Big Ten Network,,
248,4,Sep 20 2014,4:00 PM,Sat,Minnesota,24,,San Jose State,7,Big Ten Network,,
249,4,Sep 20 2014,7:00 PM,Sat,Mississippi State,34,@,(8) Louisiana State,29,ESPN,,
250,4,Sep 20 2014,8:00 PM,Sat,(24) Nebraska,41,,Miami (FL),31,ESPN 2,,
251,4,Sep 20 2014,8:00 PM,Sat,New Mexico,38,@,New Mexico State,35,AggieVision ESPN3.com,,
252,4,Sep 20 2014,6:00 PM,Sat,North Carolina State,42,,Presbyterian,0,ESPN3.com,,
253,4,Sep 20 2014,3:30 PM,Sat,North Texas,77,,Nicholls State,3,Sinclair,,
254,4,Sep 20 2014,12:00 PM,Sat,Northwestern,24,,Western Illinois,7,ESPNews,,
255,4,Sep 20 2014,7:00 PM,Sat,Northwestern State,30,@,Louisiana Tech,27,,,
256,4,Sep 20 2014,7:00 PM,Sat,Ohio,36,,Idaho,24,ESPN3.com,,
257,4,Sep 20 2014,7:30 PM,Sat,(4) Oklahoma,45,@,West Virginia,33,FOX,,
